Apertura,Cantidad_Nominal_Compra,Cantidad_Nominal_Venta,Cantidad_Operaciones,Cierre_Anterior,Denominacion,Estado,Ex,Hora_Cotizacion,Maximo,Minimo,Monto_Operado_Pesos,Precio_Compra,Precio_Promedio,Precio_Promedio_Ponderado,Precio_Venta,Simbolo,Tendencia,Tipo_Liquidacion,Ultimo,Variacion,Vencimiento,Volumen_Nominal
2047.5,50,4670,26,2106.0,BANCO COMAFI S.A.,,No,12:02:57,2054.5,2018.5,381181,2041.0,2037.7692,2039.1442,2050.0,AAL,1,Pesos,2051.5,-2.59,48hs,187
0.0,1480,0,,0.0,,,No,,0.0,0.0,0,6.9,0.0,0.0,0.0,AALD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
4719.0,10,10,231,4718.5,BANCO COMAFI S.A.,,No,12:02:33,4770.0,4719.0,65316083,4721.5,4744.987,4735.9378,4732.5,AAPL,-1,Pesos,4723.0,0.1,48hs,13789
16.25,7,838,13,16.05,,,No,11:55:16,16.25,16.05,8067,16.0,16.1498,16.0882,16.1,AAPLD,1,Du00f3lar efectivo,16.1,0.31,48hs,502
4302.5,100,1920,9,4288.0,BANCO COMAFI S.A.,,No,12:01:45,4351.5,4302.5,151818,4317.0,4340.7778,4342.3007,4333.5,ABBV,1,Pesos,4339.0,1.19,48hs,35
15.0,83,0,1,15.0,,,No,11:39:27,15.0,15.0,270,15.0,15.0,15.0,0.0,ABBVD,0,Du00f3lar efectivo,15.0,0.0,48hs,18
2715.0,10,3980,5,2749.0,BANCO COMAFI S.A.,,No,12:05:26,2715.0,2675.0,96649,2680.0,2690.6,2680.5769,2696.5,ABEV,1,Pesos,2680.0,-2.51,48hs,36
2278.0,250,2175,7,2369.5,Caja de Valores S.A.,,No,11:42:20,2291.5,2270.0,111895,2286.0,2278.2857,2278.1769,2299.0,ABNB,1,Pesos,2279.5,-3.8,48hs,49
0.0,1305,0,,0.0,,,No,,0.0,0.0,0,7.74,0.0,0.0,0.0,ABNBD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
7806.0,50,640,2,7671.0,BANCO COMAFI S.A.,,No,12:03:14,7806.0,7806.0,140508,7781.5,7806.0,7806.0,7814.0,ABT,0,Pesos,7806.0,1.76,48hs,18
0.0,384,4,,0.0,,,No,,0.0,0.0,0,26.4,0.0,0.0,33.0,ABTD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
