Apertura,Cantidad_Nominal_Compra,Cantidad_Nominal_Venta,Cantidad_Operaciones,Cierre_Anterior,Denominacion,Estado,Ex,Hora_Cotizacion,Maximo,Minimo,Monto_Operado_Pesos,Precio_Compra,Precio_Promedio,Precio_Promedio_Ponderado,Precio_Venta,Simbolo,Tendencia,Tipo_Liquidacion,Ultimo,Variacion,Vencimiento,Volumen_Nominal
2047.5,1,2,116,2106.0,BANCO COMAFI S.A.,,No,17:00:02,2107.0,2018.5,11217806,1694.0,2066.3017,2073.9558,2357.0,AAL,-1,Pesos,2041.5,-3.06,48hs,5388
0.0,1466,1,,0.0,,,No,,0.0,0.0,0,6.95,0.0,0.0,7.4,AALD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
4719.0,17,3,1331,4718.5,BANCO COMAFI S.A.,,No,17:00:02,4850.5,4700.0,334813223,4501.0,4784.7446,4791.7329,4800.0,AAPL,-1,Pesos,4722.5,0.08,48hs,69917
16.25,19,15,65,16.05,,,No,17:00:02,16.25,15.95,135435,15.0,16.103,16.0957,16.9,AAPLD,-1,Du00f3lar efectivo,16.0,-0.31,48hs,8425
4302.5,2,3,49,4288.0,BANCO COMAFI S.A.,,No,17:00:02,4388.0,4297.0,1439758,4100.0,4347.2653,4348.5451,5000.0,ABBV,0,Pesos,4302.0,0.33,48hs,331
15.0,83,0,1,15.0,,,No,17:00:02,15.0,15.0,270,15.0,15.0,15.0,0.0,ABBVD,0,Du00f3lar efectivo,15.0,0.0,48hs,18
2715.0,1414,1,21,2749.0,BANCO COMAFI S.A.,,No,17:00:02,2778.5,2675.0,933913,2696.0,2730.3571,2749.4542,3000.0,ABEV,1,Pesos,2732.0,-0.62,48hs,340
2278.0,1,21,35,2369.5,Caja de Valores S.A.,,No,17:00:02,2433.0,2270.0,522215,2000.0,2338.5857,2358.7476,3000.0,ABNB,-1,Pesos,2344.0,-1.08,48hs,223
0.0,1275,0,,0.0,,,No,,0.0,0.0,0,7.97,0.0,0.0,0.0,ABNBD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
7806.0,1,2,25,7671.0,BANCO COMAFI S.A.,,No,17:00:02,7888.5,7706.0,5825565,7000.0,7829.24,7831.3539,7868.0,ABT,-1,Pesos,7706.5,0.46,48hs,741
0.0,4,4,,0.0,,,No,,0.0,0.0,0,10.0,0.0,0.0,33.0,ABTD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
2110.0,1250,22,21,2040.0,,,No,17:00:02,2590.0,2110.0,295700,1.05,2270.7143,2336.6899,3150.0,ACHHY,-1,Pesos,2568.5,25.91,48hs,128
3996.5,1,1,199,3996.5,BANCO COMAFI S.A.,,No,17:00:02,4128.0,3979.5,7173865,3900.0,4057.2563,4050.0728,5784.0,ADBE,1,Pesos,4002.0,0.14,48hs,1767
0.0,5,5,,0.0,,,No,,0.0,0.0,0,13.1,0.0,0.0,15.9,ADBED,0,Du00f3lar efectivo,0.0,0.0,48hs,0
5120.0,1,10,49,5105.0,BANCO COMAFI S.A.,,No,17:00:02,5278.0,5075.5,4271285,500.0,5150.449,5169.427,5555.0,ADGO,-1,Pesos,5147.5,0.83,48hs,826
15402.5,249,6,26,15100.0,BANCO COMAFI S.A.,,No,17:00:02,15591.5,15301.0,23663305,15020.0,15422.6346,15458.5673,18000.0,ADI,-1,Pesos,15301.0,1.33,48hs,1535
0.0,195,102,,0.0,,,No,,0.0,0.0,0,52.1,0.0,0.0,52.7,ADID,0,Du00f3lar efectivo,0.0,0.0,48hs,0
12030.5,850,541,5,11892.0,BANCO COMAFI S.A.,,No,17:00:02,12030.5,11868.0,6483232,11754.5,11957.3,11952.6884,11840.5,ADP,-1,Pesos,11868.0,-0.2,48hs,539
0.0,2680,2680,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,1363.0,0.0,0.0,1390.0,AEG,0,Pesos,0.0,0.0,48hs,0
4210.5,2,924,16,4166.5,BANCO COMAFI S.A.,,No,17:00:02,4278.0,4207.5,9698918,3850.0,4252.2812,4254.9034,4253.0,AEM,-1,Pesos,4207.5,0.98,48hs,2288
3268.0,1165,1155,6,3258.0,BANCO COMAFI S.A.,,No,17:00:02,3290.0,3215.5,78729,3174.0,3264.5833,3258.1368,3247.0,AIG,1,Pesos,3234.0,-0.74,48hs,24
0.0,940,0,,0.0,,,No,,0.0,0.0,0,10.9,0.0,0.0,0.0,AIGD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
3440.0,1087,1,2,3490.0,BANCO COMAFI S.A.,,No,17:00:02,3471.5,3440.0,34620,3477.0,3455.75,3464.2308,3540.0,AKO.B,1,Pesos,3471.5,-0.53,48hs,10
5440.0,4,3,10,5336.5,BANCO COMAFI S.A.,,No,17:00:02,5520.0,5355.5,6230568,5190.0,5431.95,5429.7141,6200.0,AMAT,-1,Pesos,5361.0,0.46,48hs,1142
0.0,555,5,,0.0,,,No,,0.0,0.0,0,18.4,0.0,0.0,18.5,AMATD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
46059.0,2,1,204,45518.0,BANCO COMAFI S.A.,,No,17:00:02,48005.0,45732.0,184409259,45730.0,46768.027,46907.8532,55328.5,AMD,-1,Pesos,45933.5,0.91,48hs,3945
158.5,1,3,3,156.5,,,No,17:00:02,158.5,157.0,25903,156.5,157.9167,157.6917,170.0,AMDD,-1,Du00f3lar efectivo,157.0,0.32,48hs,164
6940.5,1,2,14,6850.0,BANCO COMAFI S.A.,,No,17:00:02,7049.0,6913.5,10297462,1.0,6973.8929,6979.0341,7065.0,AMGN,1,Pesos,6916.0,0.96,48hs,1471
5322.0,18,1176,21,5261.0,BANCO COMAFI S.A.,,No,17:00:02,5473.5,5322.0,728778,5237.5,5437.1905,5448.8091,5449.5,AMX,1,Pesos,5431.0,3.23,48hs,134
0.0,6,42,,0.0,,,No,,0.0,0.0,0,17.55,0.0,0.0,18.4,AMXD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
252.5,100,720,1551,256.0,BANCO COMAFI S.A.,,No,17:00:02,261.5,250.0,31423317,235.0,257.7099,257.8231,260.0,AMZN,0,Pesos,254.5,-0.59,48hs,121832
0.86,138,15,110,0.865,,,No,17:00:02,0.875,0.85,6211,0.83,0.8656,0.8652,0.919,AMZND,1,Du00f3lar efectivo,0.865,0.0,48hs,7172
4838.5,778,8,1,4760.5,BANCO COMAFI S.A.,,No,17:00:02,4838.5,4838.5,4838,4747.0,4838.5,4838.5,7408.0,ANF,0,Pesos,4838.5,1.64,48hs,1
4370.0,1,5,26,4552.0,BANCO COMAFI S.A.,,No,17:00:02,4590.5,4370.0,12980069,3850.0,4457.5962,4544.8941,4800.0,ARCO,-1,Pesos,4456.0,-2.11,48hs,2845
1255.0,10,5,270,1255.0,Caja de Valores S.A.,,No,17:00:02,1310.0,1235.5,16084439,1211.0,1270.0315,1269.796,1350.0,ARKK,-1,Pesos,1238.5,-1.31,48hs,12664
4.27,254,5,5,4.27,,,No,17:00:02,4.27,4.22,88,3.9,4.23,4.2212,5.0,ARKKD,0,Du00f3lar efectivo,4.22,-1.17,48hs,21
0.0,290,196,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,32479.0,0.0,0.0,32730.5,ASR,0,Pesos,0.0,0.0,48hs,0
1254.0,1,1,92,1268.0,BANCO COMAFI S.A.,,No,17:00:02,1350.0,1254.0,8261056,1242.5,1306.8478,1320.492,1396.0,AUY,-1,Pesos,1315.0,3.71,48hs,6259
4.48,7,13,1,4.4,,,No,17:00:02,4.48,4.48,8,4.29,4.48,4.48,5.2,AUYD,0,Du00f3lar efectivo,4.48,1.82,48hs,2
3855.0,2390,12,66,3796.794,BANCO COMAFI S.A.,,Si,17:00:02,3904.0,3784.5,6679908,3783.0,3859.5152,3856.4845,3823.0,AVGO,-1,Pesos,3784.5,-0.32,48hs,1731
0.0,2,58,,0.0,,,No,,0.0,0.0,0,12.75,0.0,0.0,16.0,AVGOD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
17950.5,213,213,10,17952.0,BANCO COMAFI S.A.,,No,17:00:02,18107.5,17795.0,13398822,17500.0,17985.85,17994.1272,17922.0,AVY,-1,Pesos,17795.0,-0.87,48hs,744
60.0,12,0,2,59.3,,,No,17:00:02,60.0,60.0,41580,60.0,60.0,60.0,0.0,AVYD,0,Du00f3lar efectivo,60.0,1.18,48hs,693
9234.5,5,2,38,9204.0,BANCO COMAFI S.A.,,No,17:00:02,9446.0,9171.0,11458100,7900.0,9302.75,9329.1197,9450.0,AXP,-1,Pesos,9171.0,-0.36,48hs,1222
