01. symbol,02. open,03. high,04. low,05. price,06. volume,07. latest trading day,08. previous close,09. change,10. change percent
MMM,108.5700,109.7000,108.2450,108.9500,2749704,2022-10-12,108.8400,0.1100,0.1011%
ABT,101.2500,101.9100,100.0600,100.0800,4095105,2022-10-12,101.7500,-1.6700,-1.6413%
ABBV,141.6400,143.0600,139.9300,139.9800,4521170,2022-10-12,141.5100,-1.5300,-1.0812%
ANF,15.4300,15.8800,15.1700,15.5000,1854324,2022-10-12,15.4400,0.0600,0.3886%
AGRO,8.3600,8.3600,8.0950,8.2400,357477,2022-10-12,8.3500,-0.1100,-1.3174%
,,,,,,,,,
ADBE,284.6900,289.7900,283.0900,286.1500,3016727,2022-10-12,284.8300,1.3200,0.4634%
AMD,57.4500,58.3200,56.3200,57.8500,89000620,2022-10-12,57.6300,0.2200,0.3817%
AEG,3.7900,3.8400,3.7600,3.7700,4540690,2022-10-12,3.8200,-0.0500,-1.3089%
AEM,41.4500,42.2100,41.1700,41.9500,1856182,2022-10-12,41.4900,0.4600,1.1087%
BABA,74.9000,76.6780,74.0300,75.7300,12990687,2022-10-12,75.3700,0.3600,0.4776%
GOOGL,97.3000,98.7500,96.7350,97.5600,21833452,2022-10-12,97.1800,0.3800,0.3910%
MO,44.3200,45.3000,44.2600,44.7500,10786112,2022-10-12,44.3500,0.4000,0.9019%
ACHHY,7.8100,8.4500,7.8100,8.0800,6494,2022-10-12,8.2999,-0.2199,-2.6494%
AMZN,112.4900,113.8300,111.4000,112.9000,45617783,2022-10-12,112.2100,0.6900,0.6149%
ABEV,2.8000,2.8100,2.7500,2.7900,12448023,2022-10-12,2.8000,-0.0100,-0.3571%
AMX,16.5600,16.6400,16.3000,16.3000,2230401,2022-10-12,16.6800,-0.3800,-2.2782%
AAL,12.2100,12.8300,11.9750,12.7000,40278169,2022-10-12,12.2600,0.4400,3.5889%
AXP,137.3100,138.4500,136.1100,136.7400,2396178,2022-10-12,137.3500,-0.6100,-0.4441%
AIG,49.0000,49.7600,48.5450,48.9600,3851251,2022-10-12,48.0500,0.9100,1.8939%
AMGN,244.3600,248.7300,243.4100,246.4400,2637903,2022-10-12,245.4400,1.0000,0.4074%
ADI,139.0300,140.3350,138.4000,138.5900,2540997,2022-10-12,138.8000,-0.2100,-0.1513%
AAPL,139.1300,140.3600,138.1600,138.3400,69832209,2022-10-12,138.9800,-0.6400,-0.4605%
AMAT,76.5500,77.0000,75.4700,76.0100,7679642,2022-10-12,76.3000,-0.2900,-0.3801%
ARCO,7.2700,7.3400,7.2000,7.2500,317440,2022-10-12,7.2500,0.0000,0.0000%
AZN,54.9300,55.4511,54.7100,55.0700,6165493,2022-10-12,55.3000,-0.2300,-0.4159%
T,14.7600,14.9350,14.6200,14.6300,46495811,2022-10-12,14.8100,-0.1800,-1.2154%
ADP,227.2600,227.4150,224.0200,224.1100,1200646,2022-10-12,226.2700,-2.1600,-0.9546%
AVY,166.8300,168.1500,163.3900,163.4600,254876,2022-10-12,166.3700,-2.9100,-1.7491%
CAR,180.9700,184.6400,175.8700,182.5000,786831,2022-10-12,182.8200,-0.3200,-0.1750%
BIDU,107.7200,110.3200,106.3850,107.4700,1869608,2022-10-12,108.6600,-1.1900,-1.0952%
BBVA,4.4200,4.4500,4.3950,4.4300,1241788,2022-10-12,4.3700,0.0600,1.3730%
BBD,3.8200,3.8300,3.6800,3.7100,38274220,2022-10-12,3.8400,-0.1300,-3.3854%
BSBR,5.8200,5.8200,5.6600,5.7000,1059436,2022-10-12,5.8000,-0.1000,-1.7241%
