Programa  de  CEDEAR,Ratio  Cedear  /  valor  sub-yacente,Id  de  mercado,Ticker  en  mercado  de  origen
3M CO,5:1,MMM,MMM
ABBOTT LABORATORIES,4:1,ABT,ABT
ABBVIE INC,10:1,ABBV,ABBV
ABERCROMBIE & FITCH CO-CL A,1:1,ANF,ANF
ADECOAGRO SA,1:2,ADGO,AGRO
ADIDAS AG,22:1,ADS,ADS
ADOBE INC,22:1,ADBE,ADBE
ADVANCED MICRO DEVICES,1:2,AMD,AMD
AEGON N.V.-NY REG SHR,1:1,AEG,AEG
AGNICO EAGLE MINES LTD,3:1,AEM,AEM
ALIBABA GROUP HOLDING-SP ADR,9:1,BABA,BABA
ALPHABET INC-CL A,58:1,GOOGL,GOOGL
ALTRIA GROUP INC,4:1,MO,MO
ALUMINUM CORP OF CHINA-ADR,1:1,ACHHY,ACHHY
AMAZON.COM INC,144:1,AMZN,AMZN
AMBEV SA-ADR,1:3,ABEV,ABEV
AMERICA MOVIL-SPN ADR CL L,1:1,AMX,AMX
AMERICAN AIRLINES GROUP INC,2:1,AAL,AAL
AMERICAN EXPRESS CO,5:1,AXP,AXP
AMERICAN INTERNATIONAL GROUP,5:1,AIG,AIG
AMGEN INC,10:1,AMGN,AMGN
ANALOG DEVICES INC,3:1,ADI,ADI
APPLE INC,10:1,AAPL,AAPL
APPLIED MATERIALS INC,5:1,AMAT,AMAT
ARCOS DORADOS HOLDINGS INC-A,1:2,ARCO,ARCO
ASTRAZENECA PLC-SPONS ADR,2:1,AZN,AZN
AT&T INC,3:1,T,T
AUTOMATIC DATA PROCESSING,6:1,ADP,ADP
AVERY DENNISON CORP,3:1,AVY,AVY
AVIS BUDGET GROUP INC,1:1,CAR,CAR
BAIDU INC - SPON ADR,11:1,BIDU,BIDU
BANCO BILBAO VIZCAYA-SP ADR,1:1,BBVA,BBVA
BANCO BRADESCO-ADR,1:1,BBD,BBD
BANCO SANTANDER BRASIL-ADS,1:1,BSBR,BSBR
BANCO SANTANDER SA-SPON ADR,1:4,SAN,SAN
BANK OF AMERICA CORP,2:1,BAC,BAC
BANK OF NEW YORK MELLON CORP,2:1,BK,BK
BARCLAYS PLC-SPONS ADR,1:1,BCS,BCS
BARRICK GOLD CORP,1:1,GOLD,GOLD
BASF SE,2:1,BAS,BAS GR
BAYER AG-REG,3:1,BAYN,BAY GR
BERKSHIRE HATHAWAY INC-CL B,22:1,BRKB,BRK/B
BHP GROUP LTD-SPON ADR,2:1,BHP,BHP
BIOCERES CROP SOLUTIONS CORP,1:2,BIOX,BIOX
BIOGEN INC,13:1,BIIB,BIIB
BLACKBERRY LTD,3:1,BB,BB
BOEING CO/THE,6:1,BA,BA
BP PLC-SPONS ADR,5:1,BP,BP
BRF SA-ADR,1:3,BRFS,BRFS
BRISTOL-MYERS SQUIBB CO,3:1,BMY,BMY
BROADCOM INC,39:1,AVGO,AVGO
BUNGE LTD,5:1,BNG,BG
CANON INC-SPONS ADR,2:1,CAJ,CAJ
CARDINAL HEALTH INC,3:1,CAH,CAH
CATERPILLAR INC,5:1,CAT,CAT
CEMEX SAB-SPONS ADR PART CER,1:1,CX,CX
CENTRAIS ELETRICAS BR-SP ADR,1:4,EBR,EBR
CHEVRON CORP,8:1,CVX,CVX
CHINA LIFE INSURANCE CO-ADR,2:1,LFCHY,LFCHY
CHINA PETROLEUM & CHEM-ADR,3:1,SNPTY,SNPTY
CIA BRASILEIRA DE DIS- ADR,1:1,CBD,CBD
CIA PARANAENSE ENER-SP ADR P,1:3,ELP,ELP
CIA SANEAMENTO BASICO DE-ADR,1:2,SBS,SBS
CIA SIDERURGICA NACL-SP ADR,1:8,SID,SID
CISCO SYSTEMS INC,5:1,CSCO,CSCO
CITIGROUP INC,3:1,C,C
COCA-COLA CO/THE,5:1,KO,KO
COCA-COLA FEMSA SAB-SP ADR,2:1,KOFM,KOF
COEUR MINING INC,1:1,CDE,CDE
COINBASE GLOBAL INC,27:1,COIN,COIN
COLGATE-PALMOLIVE CO,3:1,CL,CL
CORNING INC,4:1,GLW,GLW
CORP AMERICA AIRPORTS SA,1:4,CAAP,CAAP
COSTCO WHOLESALE CORP,12:1,COST,COST
CREDIT SUISSE GROUP-SPON ADR,1:1,CS,CS
DANONE,20:1,BSN,BSN GR
DEERE & CO,10:1,DE,DE
DESPEGAR.COM CORP,1:1,DESP,DESP
DEUTSCHE TELEKOM AG-SPON ADR,3:1,DTEA,DTEA GR
DIAGEO PLC-SPONSORED ADR,6:1,DEO,DEO
DOCUSIGN INC,22:1,DOCU,DOCU
DOW INC,6:1,DOW,DOW
DUPONT DE NEMOURS INC,5:1,DD,DD
E.ON SE,6:1,EOAN,EOAN GR
EBAY INC,2:1,EBAY,EBAY
ELECTRONIC ARTS INC,14:1,EA,EA
ELI LILLY & CO,8:1,LLY,LLY
EMBOTELLADORA ANDINA S.A.,1:1,AKO.B,AKO.B
EMBRAER SA-SPON ADR,1:1,ERJ,ERJ
ENI SPA-SPONSORED ADR,4:1,E,E
EQUIFAX INC,16:1,EFX,EFX
ERICSSON (LM) TEL-SP ADR,2:1,ERIC,ERIC
ETSY INC,16:1,ETSY,ETSY
EXXON MOBIL CORP,5:1,XOM,XOM
FANNIE MAE,1:1,FNMA,FNMA
FEDEX CORP,10:1,FDX,FDX
FIRST SOLAR INC,3:1,FSLR,FSLR
FOMENTO ECONOMICO MEX-SP ADR,2:1,FMX,FMX
FREDDIE MAC,1:1,FMCC,FMCC
FREEPORT-MCMORAN INC,1:1,FCX,FCX
GARMIN LTD,3:1,GRMN,GRMN
GAZPROM PJSC-SPON ADR,2:1,OGZD,OGZPY
GENERAL ELECTRIC CO,1:1,GE,GE
GENERAL MOTORS CO,6:1,GM,GM
GEOPARK LTD,1:1,GPRK,GPRK
GERDAU SA -SPON ADR,1:4,GGB,GGB
GILEAD SCIENCES INC,4:1,GILD,GILD
GLOBANT SA,6:1,GLOB,GLOB
GOLD FIELDS LTD-SPONS ADR,1:1,GFI,GFI
GOLDMAN SACHS GROUP INC,13:1,GS,GS
GRUPO AEROPORTUARIO PAC-ADR,2:1,PAC,PAC
GRUPO AEROPORTUARIO SUR-ADR,2:1,ASR,ASR
GRUPO TELEVISA SA-SPON ADR,3:1,TV,TV
GSK PLC,4:1,GSK,GSK
HALLIBURTON CO,2:1,HAL,HAL
HARLEY-DAVIDSON INC,3:1,HOG,HOG
HARMONY GOLD MNG-SPON ADR,1:1,HMY,HMY
HDFC BANK LTD-ADR,2:1,HDB,HDB
HECLA MINING CO,1:1,HL,HL
HERSHEY CO/THE,3:1,HSY,HSY
HOME DEPOT INC,8:1,HD,HD
HON HAI PRECISION-GDR REG S,2:1,HHPD LI,HNHPF
HONDA MOTOR CO LTD-SPONS ADR,1:1,HMC,HMC
HONEYWELL INTERNATIONAL INC,8:1,HON,HON
HOWMET AEROSPACE INC,1:1,HWM,HWM
HP INC,1:1,HPQ,HPQ
HSBC HOLDINGS PLC-SPONS ADR,2:1,HSBC,HSBC
HUANENG POWER INTL-SPONS ADR,1:1,HNPIY,HNPIY
ICICI BANK LTD-SPON ADR,1:1,IBN,IBN
INFOSYS LTD-SP ADR,1:1,INFY,INFY
ING GROEP N.V.-SPONSORED ADR,3:1,ING,ING
INTEL CORP,5:1,INTC,INTC
INTERNATIONAL PAPER CO,4:1,IP,IP
INTL BUSINESS MACHINES CORP,5:1,IBM,IBM
INTL FLAVORS & FRAGRANCES,2:1,IFF,IFF
ITAU UNIBANCO H-SPON PRF ADR,1:1,ITUB,ITUB
JD.COM INC-ADR,2:1,JD,JD
JOHNSON & JOHNSON,5:1,JNJ,JNJ
JOHNSON CONTROLS INTERNATION,2:1,JCI,JCI
JOYY INC,5:1,YY,YY
JPMORGAN CHASE & CO,5:1,JPM,JPM
KB FINANCIAL GROUP INC-ADR,2:1,KB,KB
KIMBERLY-CLARK CORP,6:1,KMB,KMB
KINROSS GOLD CORP,1:1,KGC,KGC
KONINKLIJKE PHILIPS NVR- NY,5:1,PHG,PHG
KOREA ELEC POWER CORP-SP ADR,1:1,KEP,KEP
LAM RESEARCH CORP,56:1,LRCX,LRCX
LAS VEGAS SANDS CORP,2:1,LVS,LVS
LLOYDS BANKING GROUP PLC-ADR,2:1,LYG,LYG
LOCKHEED MARTIN CORP,20:1,LMT,LMT
LUKOIL PJSC-SPON ADR,4:1,LKOD,LUKOY
MARSH & MCLENNAN COS,4:1,MMC,MMC
MASTERCARD INC - A,33:1,MA,MA
MCDONALD'S CORP,8:1,MCD,MCD
MEDTRONIC PLC,4:1,MDT,MDT
MERCADOLIBRE INC,60:1,MELI,MELI
MERCEDES-BENZ GROUP AG,4:1,MBG,MBG GR
MERCK & CO. INC.,5:1,MRK,MRK
META PLATFORMS INC.,8:1,META,META
MICROSOFT CORP,10:1,MSFT,MSFT
MITSUBISHI UFJ FINL-SPON ADR,1:1,MUFG,MUFG
MIZUHO FINANCIAL GROUP-ADR,1:1,MFG,MFG
MOBILE TELESYSTEMS-SP ADR,2:1,MBT,MBT
MOTOROLA SOLUTIONS INC,5:1,MSI,MSI
NATIONAL GRID PLC-SP ADR,2:1,NGG,NGG
NATURA &CO HOLDING-ADR,1:1,NTCO,NTCO
NEC CORP,1:3,NEC1,NEC1 GR
NETEASE INC-ADR,14:1,NTES,NTES
NETFLIX INC,16:1,NFLX,NFLX
NEWMONT CORP,3:1,NEM,NEM
NIKE INC -CL B,3:1,NKE,NKE
NIO INC.,4:1,NIO,NIO
NISSAN MOTOR CO LTD-SPON ADR,1:1,NSAN,NSANY
NOKIA CORP-SPON ADR,1:1,NOKA,NOK
NOMURA HOLDINGS INC-SPON ADR,1:1,NMR,NMR
NOVAGOLD RESOURCES INC,1:4,NG,NG
NOVARTIS AG-SPONSORED ADR,4:1,NVS,NVS
NOVOLIPETSK STEEL PJSC-GDR,2.1,NLM,NLMK
NUCOR CORP,2.1,NUE,NUE
NVIDIA CORP,24:1,NVDA,NVDA
ORACLE CORP,3.1,ORCL,ORCL
ORANGE-SPON ADR,1:1,ORAN,ORAN
PACCAR INC,3:1,PCAR,PCAR
PAN AMERICAN SILVER CORP,3:1,PAAS,PAAS
PANASONIC CORP-SPON ADR,2:1,PCRF,PCRFY
PAYPAL HOLDINGS INC,8:1,PYPL,PYPL
PEARSON PLC-SPONSORED ADR,1:1,PSO,PSO
PEPSICO INC,6:1,PEP,PEP
PETROCHINA CO LTD -ADR,4:1,PTRCY,PTRCY
PETROLEO BRASILEIRO-SPON ADR,1:1,PBR,PBR
PFIZER INC,2:1,PFE,PFE
PHILLIPS 66,6:1,PSX,PSX
PITNEY BOWES INC,1:1,PBI,PBI
POSCO HONDINGS INC,3:1,PKS,PKX
PROCTER & GAMBLE CO/THE,5:1,PG,PG
QUALCOMM INC,11:1,QCOM,QCOM
RAYTHEON TECHNOLOGIES CORP,5:1,RTX,RTX
RIO TINTO PLC-SPON ADR,4:1,RIO,RIO
ROSS STORES INC,4:1,ROST,ROST
SHELL PLC,2:1,SHEL,SHEL
SALESFORCE INC,6:1,CRM,CRM
SAMSUNG ELECTR-GDR REG S,14:1,SMSN,SMSN LI
SAP SE-SPONSORED ADR,6:1,SAP,SAP
SCHLUMBERGER LTD,3:1,SLB,SLB
SEA LTD.,32:1,SE,SE
SHOPIFY INC - CLASS A,107:1,SHOP,SHOP
SIEMENS AG-SPONS ADR,3:1,SIEGY,SIEGY
SNAP INC - A,1:1,SNAP,SNAP
SNAP-ON INC,6:1,SNA,SNA
SNOWFLAKE INC-CLASS A,30:1,SNOW,SNOW
SONY CORP-SPONSORED ADR,4:1,SONY,SONY
SOUTHERN COPPER CORP,2:1,SCCO,SCCO
SPOTIFY TECHNOLOGY SA,28:1,SPOT,SPOT
BLOCK INC,20:1,SQ,SQ
S&P GLOBAL INC,45:1,SP GI,SP GI
STARBUCKS CORP,4:1,SBUX,SBUX
SUZANO SA - SPON ADR,1:1,SUZ,SUZ
SYSCO CORP,2:1,SYY,SYY
TAIWAN SEMICONDUCTOR-SP ADR,1:3,TSM,TSM
TARGET CORP,4:1,TGT,TGT
TATA MOTORS LTD-SPON ADR,1:1,TTM,TTM
TATNEFT PAO-SPONSORED ADR,4:1,ATAD,OAOFY
