01. symbol,02. open,03. high,04. low,05. price,06. volume,07. latest trading day,08. previous close,09. change,10. change percent
MMM,116.8300,118.0300,114.8000,114.8100,3693062,2022-09-21,116.5200,-1.7100,-1.4676%
ABT,102.8700,103.9200,100.6200,100.6500,4552978,2022-09-21,102.3100,-1.6600,-1.6225%
ABBV,142.1500,143.6282,140.2900,140.3100,4941163,2022-09-21,141.7700,-1.4600,-1.0298%
ANF,16.0900,16.4600,15.5900,15.5900,1437058,2022-09-21,15.9300,-0.3400,-2.1343%
AGRO,8.4500,8.6000,8.3100,8.4200,554893,2022-09-21,8.4200,0.0000,0.0000%
,,,,,,,,,
ADBE,292.8400,297.9400,286.2200,286.3000,4865919,2022-09-21,291.0600,-4.7600,-1.6354%
AMD,75.4350,78.4100,74.4500,74.4800,81691645,2022-09-21,75.2500,-0.7700,-1.0233%
AEG,4.6000,4.6350,4.4900,4.5000,2139715,2022-09-21,4.6200,-0.1200,-2.5974%
AEM,41.5000,42.1900,40.2200,41.1100,2786789,2022-09-21,41.1300,-0.0200,-0.0486%
BABA,87.9500,88.7300,85.0100,85.8000,19129016,2022-09-20,81.6000,4.2000,5.1471%
GOOGL,101.6700,102.8800,99.2700,99.2800,31057052,2022-09-21,101.1400,-1.8600,-1.8390%
MO,43.1600,43.7700,43.0000,43.0100,7772527,2022-09-21,42.9200,0.0900,0.2097%
ACHHY,9.2500,9.5000,9.0000,9.2000,31417,2022-09-21,9.1800,0.0200,0.2179%
AMZN,122.4900,123.7600,118.4500,118.5400,57750941,2022-09-21,122.1900,-3.6500,-2.9872%
ABEV,3.0000,3.0200,2.9400,2.9500,31716713,2022-09-21,3.0000,-0.0500,-1.6667%
AMX,17.3100,17.9400,17.3093,17.6800,2348982,2022-09-21,17.4200,0.2600,1.4925%
AAL,13.8500,13.8500,13.2300,13.2300,40750981,2022-09-21,13.9700,-0.7400,-5.2971%
AXP,154.6700,154.8100,148.6600,148.7100,2560298,2022-09-21,153.4800,-4.7700,-3.1079%
AIG,53.7800,54.2500,52.2800,52.2900,4925358,2022-09-21,53.4100,-1.1200,-2.0970%
AMGN,229.1300,230.6200,224.3600,224.4600,2161058,2022-09-21,227.7100,-3.2500,-1.4273%
ADI,149.9600,154.0000,148.3400,148.4400,3291612,2022-09-21,149.7800,-1.3400,-0.8946%
AAPL,157.3400,158.7400,153.6000,153.7200,100244121,2022-09-21,156.9000,-3.1800,-2.0268%
AMAT,88.3700,91.2600,87.0500,87.0900,6907093,2022-09-21,88.1200,-1.0300,-1.1689%
ARCO,7.3600,7.5350,7.1300,7.2200,1624168,2022-09-21,7.5200,-0.3000,-3.9894%
AZN,57.3400,57.4200,56.3600,56.4400,5915823,2022-09-21,57.4000,-0.9600,-1.6725%
T,16.5800,16.6600,16.2500,16.2500,37959042,2022-09-21,16.5600,-0.3100,-1.8720%
ADP,235.6100,237.0900,230.3400,230.4200,1411080,2022-09-21,233.5400,-3.1200,-1.3360%
AVY,177.3700,178.9700,172.9100,172.9400,352849,2022-09-21,175.8300,-2.8900,-1.6436%
CAR,152.0100,158.0700,149.8400,150.3100,1520256,2022-09-21,150.0000,0.3100,0.2067%
BIDU,123.8700,124.0000,119.5100,119.5700,1993972,2022-09-21,126.1600,-6.5900,-5.2235%
BBVA,4.8700,4.8850,4.7600,4.7700,1810259,2022-09-21,4.8600,-0.0900,-1.8519%
BBD,3.9000,3.9350,3.8200,3.8300,28394149,2022-09-21,3.8900,-0.0600,-1.5424%
BSBR,6.0600,6.1300,5.9350,6.0100,1961344,2022-09-21,6.0900,-0.0800,-1.3136%
SAN,2.5400,2.5600,2.4800,2.5000,3926622,2022-09-21,2.5800,-0.0800,-3.1008%
BAC,34.3100,34.4000,33.1200,33.1500,51031148,2022-09-21,34.1700,-1.0200,-2.9851%
BK,43.5600,43.6200,42.2900,42.3000,3252896,2022-09-21,43.2700,-0.9700,-2.2417%
BCS,7.7400,7.7500,7.5200,7.5300,8787962,2022-09-21,7.8300,-0.3000,-3.8314%
GOLD,15.1400,15.5200,14.9000,15.1800,26459667,2022-09-21,15.0500,0.1300,0.8638%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
BHP,51.5500,51.6500,50.0100,50.0100,2596273,2022-09-21,51.4500,-1.4400,-2.7988%
BIOX,13.1800,13.3500,12.5700,13.0000,130962,2022-09-21,13.0100,-0.0100,-0.0769%
BIIB,205.5300,209.2500,199.2950,199.3400,1061250,2022-09-21,204.2000,-4.8600,-2.3800%
BB,5.5800,5.6550,5.4500,5.4500,5677192,2022-09-21,5.5800,-0.1300,-2.3297%
BA,146.7700,149.8700,143.2100,143.2900,6166704,2022-09-21,145.9400,-2.6500,-1.8158%
BP,31.2700,31.3600,30.5200,30.5200,7869841,2022-09-21,31.0000,-0.4800,-1.5484%
BRFS,2.7900,2.7950,2.6900,2.7000,2492933,2022-09-21,2.7400,-0.0400,-1.4599%
BMY,69.7400,70.3700,69.4400,69.4600,11831104,2022-09-21,69.7300,-0.2700,-0.3872%
AVGO,490.9900,499.8800,481.7700,482.1400,2041619,2022-09-21,493.0600,-10.9200,-2.2147%
BG,91.8200,92.3000,89.5000,89.5000,852259,2022-09-21,90.2100,-0.7100,-0.7871%
CAJ,22.9200,23.0000,22.6450,22.7100,258704,2022-09-21,22.9900,-0.2800,-1.2179%
CAH,68.6000,69.2400,67.5000,67.5200,2048584,2022-09-21,67.7900,-0.2700,-0.3983%
CAT,179.2800,180.4900,171.8800,171.9500,4048944,2022-09-21,177.9900,-6.0400,-3.3934%
CX,3.6400,3.7100,3.5650,3.6000,4176939,2022-09-21,3.5600,0.0400,1.1236%
EBR,8.6300,8.7800,8.4750,8.6100,1593606,2022-09-21,8.5800,0.0300,0.3497%
CVX,158.3100,158.7800,154.9500,155.0100,6719954,2022-09-21,156.2800,-1.2700,-0.8126%
LFCHY,6.8000,6.8550,6.7200,6.7200,96110,2022-09-21,6.8704,-0.1504,-2.1891%
SNPTY,43.1500,43.6100,43.0000,43.4800,65558,2022-09-21,43.3000,0.1800,0.4157%
CBD,4.1500,4.2550,4.0650,4.1200,2651089,2022-09-21,4.1600,-0.0400,-0.9615%
ELP,6.4000,6.4500,6.3100,6.3300,302208,2022-09-21,6.3400,-0.0100,-0.1577%
SBS,9.1600,9.2300,8.9800,8.9800,2271606,2022-09-21,9.2100,-0.2300,-2.4973%
SID,2.5300,2.5400,2.4400,2.4500,5249460,2022-09-21,2.5800,-0.1300,-5.0388%
CSCO,42.3200,42.8650,41.5700,41.5900,21086819,2022-09-21,42.5800,-0.9900,-2.3250%
C,47.2500,47.7300,46.3100,46.3300,18332795,2022-09-21,47.2500,-0.9200,-1.9471%
KO,60.1400,60.7000,59.3900,59.4000,13785445,2022-09-21,59.9000,-0.5000,-0.8347%
KOF,62.4600,62.4600,60.5400,60.6100,206638,2022-09-21,62.4600,-1.8500,-2.9619%
CDE,3.1900,3.2400,2.9900,3.0700,5369309,2022-09-21,3.1100,-0.0400,-1.2862%
COIN,68.9000,72.2400,67.4301,67.6400,12202195,2022-09-21,67.9400,-0.3000,-0.4416%
CL,75.5800,76.3200,74.8900,74.9000,2881780,2022-09-21,75.1600,-0.2600,-0.3459%
GLW,31.8500,32.0613,31.0600,31.0600,3764793,2022-09-21,31.7000,-0.6400,-2.0189%
CAAP,6.9100,7.0000,6.8673,6.9600,52835,2022-09-21,6.8100,0.1500,2.2026%
